Subject,Body
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T18:40:34
Transaction Id : 0A0E3269C44061AB45821957

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181180116

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954856'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T18:40:32
Transaction Id : 0A0E32614A6061AB45821197

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181180119

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954857'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T17:38:15
Transaction Id : 0A0E326B415061AB36FF047A

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181171857

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954684'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T17:38:13
Transaction Id : 0A0E3261CD5061AB36FF0815

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181171860

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954685'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T17:32:02
Transaction Id : 0A0E32690B4061AB358C05B2

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181171657

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954579'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T17:04:13
Transaction Id : 0A0E3269852061AB2F0B27DE

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181171364

Transaction Failed

Request Json :-
{
  ""allOrNone"" : true,
  ""collateSubrequests"" : true,
  ""compositeRequest"" : [ {
    ""method"" : ""GET"",
    ""url"" : ""/services/data/v52.0/query/?q=SELECT+Id+FROM+RecordType+WHERE+SobjectType='delivery_order__c'+and+DeveloperName='PDB_LPG'"",
    ""referenceId"" : ""rectypepdblpg""
  }, {
    ""method"" : ""PATCH"",
    ""url"" : ""/services/data/v52.0/sobjects/Delivery_Order__c/SAPDeliveryOrderNumber__c/0210954580"",
    ""referenceId"" : ""DeliveryOrder_0210954580"",
    ""body"" : {
      ""Sales_Organization__c"" : ""D001"",
      ""SAPSoldToPartyNumber__c"" : ""0090032923"",
      ""SAPSoldTo__r"" : {
        ""PDBCustomerNumber__c"" : ""0090032923""
      },
      ""SAPSoldToPartyName__c"" : ""MAJUINI TRADING"",
      ""SAPShipToNumber__c"" : ""0090032923"",
      ""SAPShipTo__r"" : {
        ""PDBCustomerNumber__c"" : ""0090032923""
      },
      ""SAPShipToName__c"" : ""MAJUINI TRADING"",
      ""SAPPGIDate__c"" : ""2021-12-04"",
      ""SAPSalesGroup__c"" : ""006"",
      ""SAPSalesGroupName__c"" : ""Abu Ubaida B Mohamed"",
      ""SAPGoodsIssueDate__c"" : ""2021-12-04"",
      ""SAPShippingCondition__c"" : ""Ex-Depot"",
      ""Source_System__c"" : ""SAP"",
      ""RecordTypeId"" : ""@{rectypepdblpg.records[0].Id}""
    }
  }, {
    ""method"" : ""PATCH"",
    ""url"" : ""/services/data/v52.0/sobjects/Delivery_Order_Item__c/LineItemUniqueNumber__c/0210954580000000000070000353"",
    ""referenceId"" : ""Item_000000000070000353"",
    ""body"" : {
      ""SAPReferenceDocument__c"" : ""8001691808"",
      ""Delivery_Order__c"" : ""@{DeliveryOrder_0210954580.id}"",
      ""SAPUnitOfMeasure__c"" : ""PCS"",
      ""SAPConfirmedQuantity__c"" : ""350.000"",
      ""SAPPlant__c"" : ""M81A"",
      ""SAPPlantLookup__r"" : {
        ""SAP_Plant_Code__c"" : ""M81A""
      },
      ""SAPMaterialNumber__c"" : ""000000000070000353"",
      ""Petronas_Product__r"" : {
        ""SAP_Material_Code__c"" : ""000000000070000353""
      },
      ""SAPMaterialDescription__c"" : ""EMPTY LPG CYLINDER 12KG""
    }
  }, {
    ""method"" : ""PATCH"",
    ""url"" : ""/services/data/v52.0/sobjects/Delivery_Order_Item__c/LineItemUniqueNumber__c/0210954580000000000070000353"",
    ""referenceId"" : ""Item_000000000070000353"",
    ""body"" : {
      ""SAPReferenceDocument__c"" : ""8001691808"",
      ""Delivery_Order__c"" : ""@{DeliveryOrder_0210954580.id}"",
      ""SAPUnitOfMeasure__c"" : ""PCS"",
      ""SAPConfirmedQuantity__c"" : ""560.000"",
      ""SAPPlant__c"" : ""M81A"",
      ""SAPPlantLookup__r"" : {
        ""SAP_Plant_Code__c"" : ""M81A""
      },
      ""SAPMaterialNumber__c"" : ""000000000070000353"",
      ""Petronas_Product__r"" : {
        ""SAP_Material_Code__c"" : ""000000000070000353""
      },
      ""SAPMaterialDescription__c"" : ""EMPTY LPG CYLINDER 12KG""
    }
  } ]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""rectypepdblpg""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""DeliveryOrder_0210954580""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""Item_000000000070000353""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Duplicate ReferenceId found: Item_000000000070000353""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""Item_000000000070000353""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T16:42:40
Transaction Id : 0A0E3261000061AB29F22C28

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181166917

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954798'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T16:42:38
Transaction Id : 0A0E12DD460061AB29F27638

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181166920

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210954799'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T14:15:29
Transaction Id : 0A0E3269C44061AB077A17BC

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181141186

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210953441'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
Production : Error : Project :- PETPdbDms Interface: - sendDeliveryDataToDMS,"Please find the error below :-

2021-12-04T14:15:28
Transaction Id : 0A0E12DD023061AB077A8726

Service : sendDeliveryDataToDMS

IDoc Number : 0000000181141189

Transaction Failed

Request Json :-
{
	""allOrNone"": true,
	""collateSubrequests"": true,
	""compositeRequest"": [
		{
			""method"": ""GET"",
			""url"": ""/services/data/v52.0/query/?q=SELECT+Id+FROM+Delivery_Order__c+WHERE+SAPDeliveryOrderNumber__c='0210953442'"",
			""referenceId"": ""ref1""
		},
		{
			""method"": ""DELETE"",
			""url"": ""/services/data/v52.0/composite/sobjects?ids=@{ref1.records[0].Id}&allOrNone=true"",
			""referenceId"": ""delresult""
		}
	]
}

Error Response from SF API
Error Code = 400
SF Response : -

{""compositeResponse"":[{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""The transaction was rolled back since another operation in the same transaction failed.""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""ref1""},{""body"":[{""errorCode"":""PROCESSING_HALTED"",""message"":""Invalid reference specified. No value for ref1.records[0].Id found in ref1. Provided referenceId ('ref1.records[0].Id') must start with a letter or a number, and it can contain only letters, numbers and underscores ('_').""}],""httpHeaders"":{},""httpStatusCode"":400,""referenceId"":""delresult""}]}
"
